gid;aircraft_aircrafttype_iatacode;aircraft_aircrafttype_icaocode;aircraft_aircrafttype_modelname;airlines_airline_iatacode;airlines_airline_icaocode;airlines_airline_name;airlines_operator_iatacode;airlines_operator_icaocode;airlines_operator_name;airportresources_baggagedelivery_arrivallounge;airportresources_baggagedelivery_baggagebelts;airportresources_baggagedelivery_carrousels;airportresources_runway;airportresources_terminal;airportresources_unboarding_airbridges;airportresources_unboarding_gates;airports_origin_iatacode;airports_origin_icaocode;airports_origin_name;airports_previous_iatacode;airports_previous_icaocode;airports_previous_name;countrytype_code;countrytype_description;flightnumbers_callsign;flightnumbers_iataflightnumber;flightnumbers_icaoflightnumber;flightnumbers_internalflightnumber;flightnumbers_operatoriataflightnumber;flightnumbers_operatoricaoflightnumber;flightnumbers_operatorinternalflightnumber;flightnumbers_operatorsuffix;flightnumbers_operatortripnumber;flightnumbers_suffix;flightnumbers_tripnumber;flightstatus_code;flightstatus_description;publiccomment;remark_code;remark_description;servicetype_description;servicetype_iatacode;timestamps_aibt;timestamps_aldt;timestamps_atot_outstation;timestamps_cancellationdate;timestamps_diversiondate;timestamps_eibt;timestamps_eldt;timestamps_modificationdate;timestamps_sibt;turnflightinternalid;last_update_fme
1014695321;321;A321;A321;TK;THY;Turkish;TK;THY;Turkish;A1F  ;1.06;06;;T1   ;;AC01;IST;LTFM;Istanbul;IST;LTFM;Istanbul;I;International;THY88C  ;TK 1809;THY1809 ;TK1809  ;TK 1809;THY1809 ;TK1809  ;;1809;;1809;IBK;On-Block;;;;Passenger scheduled;J;2023-04-17 18:06:00;2023-04-17 17:59:00;2023-04-17 15:12:00;;;2023-04-17 18:06:00;2023-04-17 17:59:00;2023-04-17 19:16:04;2023-04-17 18:25:00;1014695322;2023-04-18 11:55:05
1014695189;320;A320;A320-100/200;EC;EJU;Easy Jet Europe;EC;EJU;Easy Jet Europe;A1F  ;1.01;01;;T1   ;;A31D;LGW;EGKK;Londres Gatwick;LGW;EGKK;Londres Gatwick;E;UE Non Schengen;EJU87UM ;EC 8434;EJU8434 ;EJU8434 ;EC 8434;EJU8434 ;EJU8434 ;;8434;;8434;IBK;On-Block;;RTD  ;Vol retardé;Passenger scheduled;J;2023-04-17 23:20:00;2023-04-17 23:16:00;2023-04-17 22:15:00;;;2023-04-17 23:24:00;2023-04-17 23:16:00;2023-04-17 23:36:41;2023-04-17 22:40:00;1014697272;2023-04-18 11:55:05
1014695214;73H;B738;737-800 Passenger;TO;TVF;Transavia France;TO;TVF;Transavia France;A1F  ;1.02;02;;T1   ;;A31B;OPO;LPPR;Porto;OPO;LPPR;Porto;S;Schengen;TVF7833 ;TO 7833;TVF7833 ;TO7833  ;TO 7833;TVF7833 ;TO7833  ;;7833;;7833;IBK;On-Block;;;;Passenger scheduled;J;2023-04-17 22:58:00;2023-04-17 22:53:00;2023-04-17 21:09:00;;;2023-04-17 23:01:00;2023-04-17 22:53:00;2023-04-17 23:25:37;2023-04-17 22:40:00;1014697330;2023-04-18 11:55:05
1014697172;295;E295;195-E2;KL;KLM;Klm;KL;KLM;Klm;A1F  ;1.07;07;;T1   ;;AC05;AMS;EHAM;Amsterdam;AMS;EHAM;Amsterdam;I;International;KLM95A  ;KL 1415;KLM1415 ;KL1415  ;KL 1415;KLM1415 ;KL1415  ;;1415;;1415;PLN;Scheduled, initial status after flight was created;;;;Passenger scheduled;J;;;;;;2023-04-18 13:38:00;2023-04-18 13:30:00;2023-04-18 10:30:20;2023-04-18 13:20:00;1014697173;2023-04-18 11:55:05
1014697058;A21;A21N;A321 NEO;PC;PGT;Pegasus Airlines;PC;PGT;Pegasus Airlines;A1F  ;1.04;04;;T1   ;;A31C;SAW;LTFJ;Istanbul  Gokcen;SAW;LTFJ;Istanbul  Gokcen;I;International;PGT1141 ;PC 1141;PGT1141 ;PC1141  ;PC 1141;PGT1141 ;PC1141  ;;1141;;1141;AIR;Airborne / Left previous airport;;;;Passenger scheduled;J;;;2023-04-18 10:29:00;;;2023-04-18 13:20:00;2023-04-18 13:12:00;2023-04-18 10:30:48;2023-04-18 13:35:00;1014697059;2023-04-18 11:55:05
1014697040;321;A321;A321;AF;AFR;Air France;AF;AFR;Air France;A1F  ;1.07;07;;T1   ;;AB02;CDG;LFPG;Paris C. De Gaulle;CDG;LFPG;Paris C. De Gaulle;N;National;AFR84HJ ;AF 7366;AFR7366 ;AF7366  ;AF 7366;AFR7366 ;AF7366  ;;7366;;7366;PLN;Scheduled, initial status after flight was created;;;;Passenger scheduled;J;;;;;;2023-04-18 14:07:00;2023-04-18 13:59:00;2023-04-18 11:22:31;2023-04-18 13:45:00;1014697041;2023-04-18 11:55:05
1014697151;321;A321;A321;W6;WZZ;Wizz Air;W6;WZZ;Wizz Air;A1F  ;1.02;02;;T1   ;;A31A;FCO;LIRF;Rome Fiumicino;FCO;LIRF;Rome Fiumicino;S;Schengen;WZZ0YR  ;W6 8331;WZZ8331 ;W68331  ;W6 8331;WZZ8331 ;W68331  ;;8331;;8331;PLN;Scheduled, initial status after flight was created;;;;Passenger scheduled;J;;;;;;;;2023-04-18 04:22:25;2023-04-18 14:40:00;1014697309;2023-04-18 11:55:05
1014697074;320;A320;A320-100/200;EC;EJU;Easy Jet Europe;EC;EJU;Easy Jet Europe;A1F  ;1.01;01;;T1   ;;A31D;BCN;LEBL;Barcelone;BCN;LEBL;Barcelone;I;International;EJU48RE ;EC 4382;EJU4382 ;EJU4382 ;EC 4382;EJU4382 ;EJU4382 ;;4382;;4382;PLN;Scheduled, initial status after flight was created;;;;Passenger scheduled;J;;;;;;;;2023-04-18 09:15:13;2023-04-18 14:45:00;1014697189;2023-04-18 11:55:05
1014697239;319;A319;A319;V7;VOE;Volotea;V7;VOE;Volotea;A1F  ;1.08;08;;T1   ;;A1C;ALC;LEAL;Alicante;ALC;LEAL;Alicante;S;Schengen;VOE29DR ;V7 2613;VOE2613 ;VOE2613 ;V7 2613;VOE2613 ;VOE2613 ;;2613;;2613;PLN;Scheduled, initial status after flight was created;;;;Passenger scheduled;J;;;;;;2023-04-18 14:59:00;2023-04-18 14:51:00;2023-04-18 11:52:03;2023-04-18 15:05:00;1014697332;2023-04-18 11:55:05
1014695252;320;A320;A320-100/200;BA;BAW;British Airways;BA;BAW;British Airways;A1F  ;1.07;07;;T1   ;;AC05;LHR;EGLL;Londres Heathrow;LHR;EGLL;Londres Heathrow;E;UE Non Schengen;BAW362Y ;BA 362 ;BAW362  ;BA362   ;BA 362 ;BAW362  ;BA362   ;;362 ;;362 ;IBK;On-Block;;RTD  ;Vol retardé;Passenger scheduled;J;2023-04-17 18:26:00;2023-04-17 18:20:00;2023-04-17 17:13:00;;;2023-04-17 18:28:00;2023-04-17 18:20:00;2023-04-17 19:16:28;2023-04-17 17:50:00;1014695253;2023-04-18 11:55:05
